timestamp,epoch,batch,split,loss,n_pairs,batch_size,dim_model,n_layers,n_head,dim_feedforward,dropout,lr,margin
1779041988.2311115,1,,train_epoch,14.7615192675362,40000,128,256,2,4,512,0.3,0.0001,2.0
1779041988.231137,1,,val_epoch,6.59987716563046,8000,128,256,2,4,512,0.3,0.0001,2.0
1779042003.0276325,2,,train_epoch,8.931111812591553,40000,128,256,2,4,512,0.3,0.0001,2.0
1779042003.0276628,2,,val_epoch,5.091058780853119,8000,128,256,2,4,512,0.3,0.0001,2.0
1779042041.3155563,3,,train_epoch,6.39631872359937,40000,128,256,2,4,512,0.3,0.0001,2.0
1779042041.3155847,3,,val_epoch,3.9279570290375325,8000,128,256,2,4,512,0.3,0.0001,2.0
1779042033.1233428,4,,train_epoch,4.586336685826603,40000,128,256,2,4,512,0.3,0.0001,2.0
1779042033.123372,4,,val_epoch,2.9265024447370145,8000,128,256,2,4,512,0.3,0.0001,2.0
1779042048.2486696,5,,train_epoch,3.2828703452223027,40000,128,256,2,4,512,0.3,0.0001,2.0
1779042048.2486992,5,,val_epoch,2.0782786931783432,8000,128,256,2,4,512,0.3,0.0001,2.0
1779042063.3101459,6,,train_epoch,2.3488285233037542,40000,128,256,2,4,512,0.3,0.0001,2.0
1779042063.3101735,6,,val_epoch,1.4972635994827936,8000,128,256,2,4,512,0.3,0.0001,2.0
1779042101.822832,7,,train_epoch,1.756095298943809,40000,128,256,2,4,512,0.3,0.0001,2.0
1779042101.8228607,7,,val_epoch,1.1139147667184708,8000,128,256,2,4,512,0.3,0.0001,2.0
1779042093.488631,8,,train_epoch,1.3508315429139062,40000,128,256,2,4,512,0.3,0.0001,2.0
1779042093.488658,8,,val_epoch,0.906978880602216,8000,128,256,2,4,512,0.3,0.0001,2.0
1779042108.4348376,9,,train_epoch,1.1218199887976479,40000,128,256,2,4,512,0.3,0.0001,2.0
1779042108.434867,9,,val_epoch,0.8479644987318251,8000,128,256,2,4,512,0.3,0.0001,2.0
1779042123.3019154,10,,train_epoch,1.0103221583290223,40000,128,256,2,4,512,0.3,0.0001,2.0
1779042123.3019483,10,,val_epoch,0.8307963108259534,8000,128,256,2,4,512,0.3,0.0001,2.0
