timestamp,epoch,batch,split,loss,n_pairs,batch_size,dim_model,n_layers,n_head,dim_feedforward,dropout,lr,margin
1770564028.0215447,1,,train_epoch,0.008479664589699818,100000,64,256,2,4,512,0.1,3.0836807629067824e-05,0.5
1770564028.0215826,1,,val_epoch,0.10605511716685999,20000,64,256,2,4,512,0.1,3.0836807629067824e-05,0.5
1770565621.9450445,2,,train_epoch,0.0021091073275360823,100000,64,256,2,4,512,0.1,1.4689117673814123e-05,0.5
1770565621.9450843,2,,val_epoch,0.10805956798325926,20000,64,256,2,4,512,0.1,1.4689117673814123e-05,0.5
1770567214.915643,3,,train_epoch,0.0018436887624346718,100000,64,256,2,4,512,0.1,9.622996160309414e-05,0.5
1770567214.9156775,3,,val_epoch,0.11294177352650145,20000,64,256,2,4,512,0.1,9.622996160309414e-05,0.5
1770568807.4497309,4,,train_epoch,0.0009811866880777057,100000,64,256,2,4,512,0.1,4.987433642614985e-05,0.5
1770568807.4497817,4,,val_epoch,0.11531880234677594,20000,64,256,2,4,512,0.1,4.987433642614985e-05,0.5
1770570402.870192,5,,train_epoch,0.0004895331379720644,100000,64,256,2,4,512,0.1,3.866363006494255e-06,0.5
1770570402.8702412,5,,val_epoch,0.1162509568624746,20000,64,256,2,4,512,0.1,3.866363006494255e-06,0.5
