timestamp,epoch,batch,split,loss,n_pairs,batch_size,dim_model,n_layers,n_head,dim_feedforward,dropout,lr,margin
1779044289.709369,1,,train_epoch,15.059559438175286,40000,128,256,2,4,512,0.3,0.0001,2.0
1779044289.7094183,1,,val_epoch,6.613136539834419,8000,128,256,2,4,512,0.3,0.0001,2.0
1779044304.9405308,2,,train_epoch,8.92059272851426,40000,128,256,2,4,512,0.3,0.0001,2.0
1779044304.9405665,2,,val_epoch,5.115559399453184,8000,128,256,2,4,512,0.3,0.0001,2.0
1779044320.2547543,3,,train_epoch,6.388583459793188,40000,128,256,2,4,512,0.3,0.0001,2.0
1779044320.2547815,3,,val_epoch,3.9588353943877985,8000,128,256,2,4,512,0.3,0.0001,2.0
1779044335.5037947,4,,train_epoch,4.5981495106182155,40000,128,256,2,4,512,0.3,0.0001,2.0
1779044335.50383,4,,val_epoch,2.9273155617512883,8000,128,256,2,4,512,0.3,0.0001,2.0
1779044350.9407008,5,,train_epoch,3.3182202177687574,40000,128,256,2,4,512,0.3,0.0001,2.0
1779044350.9407346,5,,val_epoch,2.1410203783048525,8000,128,256,2,4,512,0.3,0.0001,2.0
1779044366.3647835,6,,train_epoch,2.395291338713405,40000,128,256,2,4,512,0.3,0.0001,2.0
1779044366.3648157,6,,val_epoch,1.5496677180367804,8000,128,256,2,4,512,0.3,0.0001,2.0
1779044381.7907333,7,,train_epoch,1.795204266953392,40000,128,256,2,4,512,0.3,0.0001,2.0
1779044381.7907646,7,,val_epoch,1.1978864040639665,8000,128,256,2,4,512,0.3,0.0001,2.0
1779044397.101426,8,,train_epoch,1.4179563855591673,40000,128,256,2,4,512,0.3,0.0001,2.0
1779044397.1014807,8,,val_epoch,0.9967425645343841,8000,128,256,2,4,512,0.3,0.0001,2.0
1779044435.8784418,9,,train_epoch,1.1785873431748095,40000,128,256,2,4,512,0.3,0.0001,2.0
1779044435.878473,9,,val_epoch,0.8867224284580776,8000,128,256,2,4,512,0.3,0.0001,2.0
1779044428.1500452,10,,train_epoch,1.0331511872645003,40000,128,256,2,4,512,0.3,0.0001,2.0
1779044428.1500762,10,,val_epoch,0.8438075657874818,8000,128,256,2,4,512,0.3,0.0001,2.0
