timestamp,epoch,batch,split,loss,n_pairs,batch_size,dim_model,n_layers,n_head,dim_feedforward,dropout,lr,margin
1767690491.5270073,1,,train_epoch,4.253537799178677,100000,64,256,2,4,512,0.1,0.0001,1.0
1767690491.5270414,1,,val_epoch,15.090675005135825,20000,64,256,2,4,512,0.1,0.0001,1.0
1767692066.8828375,2,,train_epoch,0.3934158717978672,100000,64,256,2,4,512,0.1,0.0001,1.0
1767692066.8828707,2,,val_epoch,0.3812717736338655,20000,64,256,2,4,512,0.1,0.0001,1.0
1767693642.3177476,3,,train_epoch,0.08082915355659359,100000,64,256,2,4,512,0.1,0.0001,1.0
1767693642.3177814,3,,val_epoch,0.39922358543156816,20000,64,256,2,4,512,0.1,0.0001,1.0
1767695218.9958563,4,,train_epoch,0.03909126527652726,100000,64,256,2,4,512,0.1,0.0001,1.0
1767695218.9958916,4,,val_epoch,0.49503764041220416,20000,64,256,2,4,512,0.1,0.0001,1.0
1767696796.329573,5,,train_epoch,0.05028522187684229,100000,64,256,2,4,512,0.1,0.0001,1.0
1767696796.3296077,5,,val_epoch,0.5232032456289465,20000,64,256,2,4,512,0.1,0.0001,1.0
1767698374.1206143,6,,train_epoch,0.035318931057168525,100000,64,256,2,4,512,0.1,5e-05,1.0
1767698374.1206553,6,,val_epoch,0.498314623247844,20000,64,256,2,4,512,0.1,5e-05,1.0
1767699950.486732,7,,train_epoch,0.033265606757618076,100000,64,256,2,4,512,0.1,5e-05,1.0
1767699950.4867704,7,,val_epoch,0.5784237473613967,20000,64,256,2,4,512,0.1,5e-05,1.0
1767701526.6094527,8,,train_epoch,0.03969509876065042,100000,64,256,2,4,512,0.1,5e-05,1.0
1767701526.6094909,8,,val_epoch,0.5954537869523318,20000,64,256,2,4,512,0.1,5e-05,1.0
1767703103.0189717,9,,train_epoch,0.024182585640664445,100000,64,256,2,4,512,0.1,2.5e-05,1.0
1767703103.019014,9,,val_epoch,0.6145860486137219,20000,64,256,2,4,512,0.1,2.5e-05,1.0
1767704679.189778,10,,train_epoch,0.022989875803313083,100000,64,256,2,4,512,0.1,2.5e-05,1.0
1767704679.1898568,10,,val_epoch,0.6675704841490109,20000,64,256,2,4,512,0.1,2.5e-05,1.0
