distance,label
0.35782429575920105,positive
2.174637794494629,positive
0.41266298294067383,positive
0.41474729776382446,positive
0.37026000022888184,positive
0.3671411871910095,positive
0.3900332450866699,positive
0.4131046533584595,positive
0.43023768067359924,positive
0.3770149350166321,positive
0.41587626934051514,positive
1.7579376697540283,positive
0.39233267307281494,positive
0.37076327204704285,positive
0.41555577516555786,positive
0.3829101622104645,positive
0.4192058742046356,positive
0.36336588859558105,positive
0.4215771555900574,positive
0.41645005345344543,positive
0.40121713280677795,positive
0.352382093667984,positive
0.382895290851593,positive
0.39625284075737,positive
0.33771973848342896,positive
2.1774864196777344,positive
0.3970087766647339,positive
0.445300430059433,positive
0.3972099721431732,positive
0.4175688922405243,positive
1.9809333086013794,positive
0.34435349702835083,positive
0.36542969942092896,positive
0.361106812953949,positive
0.40738099813461304,positive
0.4146226644515991,positive
0.32896938920021057,positive
0.39232462644577026,positive
0.38743746280670166,positive
0.3747659921646118,positive
0.3955424427986145,positive
0.4109994173049927,positive
0.3973126709461212,positive
0.3796686828136444,positive
0.35287734866142273,positive
0.37881019711494446,positive
0.36752352118492126,positive
0.3727948069572449,positive
0.39369404315948486,positive
0.3914888799190521,positive
0.37284645438194275,positive
2.1481423377990723,positive
0.394616961479187,positive
0.4224754869937897,positive
0.41017428040504456,positive
0.41372770071029663,positive
0.3634083569049835,positive
0.4183931052684784,positive
0.3383026719093323,positive
0.3388836085796356,positive
1.991964340209961,positive
2.001070499420166,positive
0.35992565751075745,positive
0.4369752109050751,positive
0.4038952589035034,positive
0.4045831859111786,positive
0.3874894678592682,positive
0.45703884959220886,positive
0.4159216284751892,positive
0.3944966197013855,positive
0.4248226284980774,positive
0.41199547052383423,positive
0.415641725063324,positive
0.40885958075523376,positive
0.4014839231967926,positive
0.3871355354785919,positive
0.41321372985839844,positive
0.33446088433265686,positive
0.4199749529361725,positive
0.36043065786361694,positive
0.3816433250904083,positive
0.4419430196285248,positive
0.38869860768318176,positive
0.33631691336631775,positive
0.423113077878952,positive
0.42876747250556946,positive
0.40965044498443604,positive
0.39133909344673157,positive
